file_name,label,mel_spectrogram_mean,mel_spectrogram_std,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,chromagram_mean_0,chromagram_mean_1,chromagram_mean_2,chromagram_mean_3,chromagram_mean_4,chromagram_mean_5,chromagram_mean_6,chromagram_mean_7,chromagram_mean_8,chromagram_mean_9,chromagram_mean_10,chromagram_mean_11,chromagram_std_0,chromagram_std_1,chromagram_std_2,chromagram_std_3,chromagram_std_4,chromagram_std_5,chromagram_std_6,chromagram_std_7,chromagram_std_8,chromagram_std_9,chromagram_std_10,chromagram_std_11
bear2_segment_0.wav,animals,-20.161772,10.534349,104.7956619,23.52665329,13.94577885,8.748369217,6.201370716,3.536631823,0.982139111,-0.409895599,-0.727294385,-1.936405182,-3.271939039,-3.883518934,-4.161796093,111.768425,4.930057526,4.167667389,2.990674496,3.66120553,2.8657372,3.637343407,4.141282082,4.442445278,4.870048523,4.291919708,3.613317728,3.495444298,0.696012318,0.726593256,0.717298269,0.715341091,0.682828844,0.698979139,0.684107482,0.678034782,0.731165111,0.771046281,0.739513934,0.688633084,0.180065855,0.199311718,0.195786268,0.214317217,0.201723292,0.215380087,0.201449856,0.188933432,0.208382219,0.208707646,0.208851203,0.214066103
bear2_segment_1.wav,animals,-21.882803,12.550181,91.77490234,23.04937744,13.9001646,8.261169434,5.90951252,3.3218503,1.459722519,-0.862497449,-1.519004107,-2.438151598,-3.691172123,-3.712306499,-2.794057131,135.7753754,6.407693863,4.586126328,4.760438919,3.411828518,3.253094435,3.747779846,3.622317076,3.674175262,3.372227669,3.151556969,3.66285634,3.81401825,0.717210889,0.692089438,0.705220163,0.756219268,0.740460813,0.707191885,0.723403394,0.686471999,0.714955568,0.760322928,0.79260385,0.802380979,0.199352533,0.201655179,0.194134191,0.196214169,0.190147027,0.188263029,0.202949733,0.168889239,0.186667338,0.188142478,0.192637265,0.200294167
bear2_segment_2.wav,animals,-21.559053,12.038228,94.4394455,22.78548431,12.34681988,7.517660141,6.022379875,4.080260277,1.643010736,0.172002181,0.037693478,-0.943791568,-1.953306317,-2.399639368,-1.524163842,129.7690277,5.823844433,4.203812122,4.649780273,5.114078999,3.300013542,4.767896652,4.904675961,4.031860828,3.506346226,3.078114748,3.967261314,4.425457478,0.70675087,0.73554039,0.748093724,0.726361692,0.713633537,0.696134448,0.695199072,0.673872054,0.732157886,0.775720596,0.796163857,0.779938221,0.201261744,0.200537667,0.197159216,0.195717305,0.20171842,0.200175703,0.190696806,0.18371442,0.202165335,0.20499301,0.213045791,0.208949208
bear2_segment_3.wav,animals,-18.974012,3.7550914,124.9596481,24.66913795,13.62910271,8.596349716,5.779358864,3.017706871,0.587562144,-0.001270548,-1.986904621,-2.977444172,-4.070789337,-4.478882313,-3.028073311,6.688070774,2.679365158,3.858123779,3.069209337,3.255568266,3.581129551,3.397135258,3.214779377,3.757091761,3.574973345,3.919342995,3.971433878,3.120979548,0.736220121,0.762046695,0.758461952,0.750659764,0.714957714,0.685335577,0.714644372,0.69686842,0.683617651,0.721722782,0.764026225,0.776159585,0.181307018,0.154464319,0.160447791,0.158625707,0.163545847,0.172520876,0.170607075,0.154763162,0.164928839,0.166985288,0.173377588,0.180362761
bear3_segment_0.wav,animals,-27.0075,19.612103,35.37968063,12.9441185,4.625205517,1.036779523,-0.623368204,-1.124722242,-1.854098558,-0.716180742,1.181993127,2.70190239,4.221607208,4.849962234,3.819433689,219.1190033,10.62429905,4.408730984,4.184249401,4.774667263,5.065643311,5.102269173,3.93536377,3.364579201,3.652297258,3.773954153,3.722663164,3.82571578,0.462469667,0.516592026,0.644831717,0.675747156,0.628677011,0.490963131,0.480371058,0.508210361,0.585751712,0.646142721,0.577389419,0.563271046,0.244641453,0.252693772,0.313095182,0.291641891,0.300787926,0.264357537,0.268859744,0.28632614,0.314239293,0.327401668,0.294995904,0.318871021
bear3_segment_1.wav,animals,-19.395237,3.572151,127.1075974,23.26893425,8.442038536,2.357447863,0.141301528,-0.164487064,-0.520403445,-0.788275778,-0.896844208,-0.497450918,0.392253578,1.261426926,0.805252254,8.028400421,3.980691671,4.396872997,4.611642838,4.677092075,3.880318642,3.667623997,4.339071751,3.896998644,3.177709579,3.188541174,2.792104244,3.101952553,0.550946534,0.594618857,0.678227127,0.765666783,0.688833714,0.63657409,0.629580379,0.639824152,0.725903153,0.83774519,0.799459159,0.646721005,0.179401934,0.188547045,0.212845698,0.21073918,0.183621451,0.168720186,0.173060521,0.174071282,0.161410704,0.163188994,0.163013041,0.190463081
bear3_segment_10.wav,animals,-20.063238,3.4441738,118.152565,17.16278076,8.792434692,3.055167675,1.410175323,-0.042319406,-1.502235293,-2.625668764,-3.557509422,-4.168248653,-2.80325675,-1.889966369,-2.119400501,11.59415054,8.827881813,4.00809145,3.425873041,3.841007948,3.624439955,3.836016178,4.336302757,4.657027721,4.335828781,3.981832266,3.606323957,3.706072807,0.551742971,0.506213665,0.552196622,0.662017405,0.682323992,0.649562716,0.69758904,0.757740557,0.721442938,0.686996937,0.682966471,0.619166732,0.203744128,0.19412291,0.206929594,0.218604788,0.222425595,0.215297192,0.215619713,0.215025648,0.196238101,0.244569227,0.240048572,0.245712295
bear3_segment_11.wav,animals,-18.914097,3.2168207,109.5123138,8.840906143,5.589978218,3.680298567,2.433860779,1.058934331,-0.54166007,-1.44721055,-0.885163128,-1.687031984,-0.637181044,-0.316637129,-0.103064112,13.43894196,11.07188988,4.12889576,2.662065983,3.036137104,2.743567467,3.68157649,4.499661922,5.794186115,5.3670578,4.902775288,4.298979282,3.849065781,0.61901629,0.586653113,0.643377781,0.694012523,0.718077242,0.736291707,0.745498359,0.777888894,0.782503605,0.81039989,0.812489688,0.767746747,0.193811566,0.173497528,0.180134162,0.149694011,0.156843975,0.17984198,0.192886889,0.200079456,0.186125204,0.179837957,0.205480546,0.216615856
bear3_segment_2.wav,animals,-21.305655,3.0891929,106.5118637,5.846767426,5.004456043,2.987091303,1.506477594,0.756891489,0.091390148,-1.06548512,-1.079982758,0.009839299,0.444790959,0.050977442,1.37654829,11.94359112,9.353280067,4.187849998,3.681171179,3.169907331,3.359346151,3.522900581,5.257002831,5.803824425,5.259603024,4.177844524,3.949745655,3.622882843,0.632918537,0.587731421,0.60754019,0.652752995,0.748737454,0.734537184,0.718506515,0.707272291,0.728270352,0.818699002,0.808138192,0.776835263,0.215262696,0.197251558,0.21532777,0.193787351,0.182119623,0.193008989,0.228964597,0.227573916,0.202931985,0.176355034,0.211417466,0.24468255
bear3_segment_3.wav,animals,-20.399769,3.1892056,109.3799286,8.524103165,4.330160618,2.259052992,1.184982061,1.322775483,0.786973715,1.369796634,0.233889177,-0.069056533,0.416746199,0.846890211,0.962398887,15.04329586,12.39524364,4.023412228,3.39908123,3.927700758,3.618712187,3.231108904,3.092228889,3.756612539,3.418957233,3.888315916,3.139569283,2.630239487,0.638491571,0.69167912,0.687486827,0.694938481,0.706376731,0.738379121,0.786255777,0.83604598,0.884540319,0.861220062,0.88330096,0.733429909,0.141083762,0.156583473,0.165894762,0.179975942,0.174093172,0.160572112,0.15961273,0.107332371,0.104224935,0.109892853,0.143481582,0.130979702
